spp_code,stories,below_crown_height,height,estimated_height,DBH
17234,over,220,510,560,18
17234,over,130,410,549,17
17234,over,120,390,497,13
15003,over,180,430,582,8
17234,over,210,630,549,17
1008,over,180,510,403,8
2024,over,120,480,377,7
2024,over,180,410,403,8
2024,over,130,390,403,8
2024,over,120,540,464,11
10948,under,120,290,319,6
10948,over,150,450,347,7
10948,over,130,390,347,7
10948,over,,,370,8
10948,under,,,347,7
10948,under,,,319,6
10948,over,,,347,7
10948,under,,,391,9
10948,under,,,347,7
10948,under,,,347,7
10948,under,,,347,7
10948,under,,,319,6
10948,over,,,370,8
10948,over,,,319,6
10948,under,,,319,6
10948,under,,,319,6
10948,over,,,370,8
10948,over,,,319,6
10948,over,,,347,7
10948,over,,,347,7
10948,over,120,380,370,8
10948,under,,,319,6
10948,under,,,370,8
10948,under,,,370,8
10948,under,,,347,7
10948,over,140,410,347,7
10948,over,190,320,391,9
10948,under,,,347,7
10948,under,,,347,7
10948,under,,,370,8
10948,under,,,347,7
15067,over,130,570,663,11
15003,over,,,582,8
15003,over,280,910,838,20
15003,over,,,501,6
15003,over,,,671,11
15003,over,,,671,11
15003,over,,,671,11
15003,over,,,582,8
15003,over,,,739,14
15003,over,380,560,544,7
15003,over,390,840,758,15
15003,over,,,671,11
15003,over,290,860,739,14
15003,over,,,615,9
15003,over,480,750,695,12
15003,over,380,850,824,19
15003,over,,,582,8
10948,over,,,319,6
10948,under,,,319,6
10948,over,,,370,8
10948,under,,,347,7
10948,under,80,200,319,6
15003,over,370,560,615,9
15003,over,130,560,644,10
15003,over,110,520,615,9
15003,over,400,580,644,10
15003,over,200,450,507,8
15003,over,250,440,562,10
15003,over,50,350,475,7
15003,over,50,300,475,7
15003,over,400,920,731,20
15003,over,140,650,606,12
15003,over,150,470,536,9
15003,over,180,700,606,12
15003,under,,,475,7
15003,over,100,450,536,9
15003,over,50,430,507,8
15003,over,210,720,677,16
15003,over,270,750,705,18
15003,over,160,690,585,11
14987,under,,,644,14
11065,over,,,571,7
22793,over,,,753,13
11065,over,,,526,6
10948,over,100,420,439,7
10948,over,50,430,439,7
10948,under,100,450,470,8
10948,over,100,450,405,6
10948,under,,,439,7
10948,under,60,450,439,7
10948,under,,,405,6
10948,under,,,439,7
15003,over,510,880,795,26
15003,over,420,820,606,12
15003,over,,,677,16
15003,over,,,507,8
15003,over,,,765,23
15003,over,,,644,14
15003,over,550,850,661,15
15003,over,,,562,10
15003,over,,,475,7
15003,over,,,536,9
15003,over,,,585,11
15003,over,,,536,9
15003,over,520,930,743,21
15003,over,,,585,11
15003,over,,,475,7
15003,over,,,475,7
6617,over,,,832,17
6617,over,,,832,17
938,over,,,571,7
938,over,320,670,645,9
938,under,,,526,6
938,over,,,526,6
22332,over,,,676,10
6591,over,,,775,14
6591,over,420,800,832,17
6591,over,,,753,13
6591,over,,,611,8
6591,over,,,611,8
938,over,,,526,6
13059,under,,,571,7
13059,under,,,611,8
6591,over,350,780,676,10
6591,over,,,611,8
22332,under,,,611,8
22332,under,,,645,9
12230,over,,,832,17
6591,over,,,795,15
6591,over,,,814,16
6591,over,,,832,17
6591,over,410,900,894,21
6591,over,250,780,795,15
6591,over,,,571,7
6617,under,,,571,7
6617,over,,,753,13
6617,over,170,710,775,14
10948,over,,,405,6
10948,under,,,439,7
