"","below_crown_height","height","estimated_height","DBH"
"1",1,1,1,1
"2",300,400,621,10
"3",380,590,647,11
"4",420,550,561,8
"5",400,670,712,14
"6",350,590,593,9
"7",410,480,525,7
"8",330,710,731,15
"9",260,770,822,21
"10",230,550,483,6
"11",380,760,795,19
"12",400,730,621,10
"13",290,680,671,12
"14",250,660,692,13
"15",340,540,721,15
"16",260,550,585,9
"17",200,730,647,11
"18",170,440,483,6
"19",280,520,525,7
"20",350,630,593,9
"21",300,600,561,8
"22",190,680,647,11
"23",220,570,525,7
"24",250,640,671,12
"25",300,700,621,10
"26",300,600,647,11
"27",150,520,525,7
"28",180,590,483,6
"29",220,660,593,9
"30",250,600,561,8
"31",350,720,692,13
"32",400,660,668,12
"33",220,470,689,13
"34",210,540,709,14
"35",190,570,590,9
"36",230,460,644,11
"37",200,500,590,9
"38",270,510,559,8
"39",200,400,523,7
"40",340,630,728,15
"41",220,480,709,14
"42",240,540,668,12
"43",300,510,668,12
"44",230,530,559,8
"45",370,670,709,14
"46",420,740,689,13
"47",200,570,689,13
"48",260,430,523,7
"49",250,480,590,9
"50",260,430,559,8
"51",240,510,619,10
"52",870,1120,745,16
"53",740,1030,777,18
"54",680,1190,818,21
"55",820,1110,728,15
"56",280,1020,886,27
"57",370,740,805,20
"58",400,720,644,11
"59",340,930,757,18
"60",230,630,742,17
"61",300,660,628,11
"62",380,730,773,9
"63",400,900,928,14
"64",430,720,874,12
"65",140,530,757,18
"66",130,920,726,16
"67",430,710,757,18
"68",710,1020,831,22
"69",560,1180,902,13
"70",470,650,731,8
"71",240,850,843,11
"72",140,330,468,7
"73",240,670,929,26
"74",130,360,431,6
"75",310,710,918,25
"76",180,400,590,8
"77",320,710,808,17
"78",320,670,753,14
"79",410,720,791,16
"80",500,790,808,17
"81",610,940,855,20
"82",320,730,772,15
"83",270,510,657,10
"84",290,530,753,14
"85",380,660,791,16
"86",290,830,825,18
"87",440,540,593,8
"88",470,870,894,23
"89",270,760,855,20
"90",380,750,808,17
"91",260,610,709,12
"92",240,570,554,10
"93",240,480,585,8
"94",160,680,618,9
"95",190,650,674,11
"96",170,490,431,6
"97",510,1130,970,30
"98",540,1110,940,27
"99",840,1230,894,23
"100",550,1030,808,17
"101",760,1040,825,18
"102",570,850,709,12
"103",410,620,709,12
"104",150,620,618,9
"105",160,620,547,7
"106",120,560,529,9
"107",120,460,431,6
"108",190,540,468,7
"109",710,1030,882,22
"110",720,1050,940,27
"111",460,630,657,10
"112",540,820,753,14
"113",500,670,732,13
"114",230,500,502,10
"115",160,430,424,7
"116",160,460,453,8
"117",200,570,453,8
"118",200,390,453,8
"119",170,340,390,6
"120",140,570,523,11
"121",130,410,479,9
"122",150,410,453,8
"123",230,540,516,9
"124",130,400,479,9
"125",150,320,390,6
"126",170,350,390,6
"127",150,390,424,7
"128",140,390,453,8
"129",150,400,453,8
"130",180,470,502,10
"131",150,350,453,8
"132",220,480,559,13
"133",230,490,542,12
"134",160,410,523,11
"135",200,510,559,13
"136",170,520,559,13
"137",160,540,502,10
"138",170,490,453,8
"139",250,530,523,11
"140",250,590,604,16
"141",270,580,542,12
"142",300,580,630,18
"143",340,570,618,17
"144",240,550,523,11
"145",210,520,479,9
"146",200,500,502,10
"147",180,530,479,9
"148",350,700,523,11
"149",190,670,559,13
"150",220,600,523,11
"151",190,930,664,21
"152",280,620,665,17
"153",300,630,602,13
"154",370,630,620,14
"155",260,480,488,8
"156",290,1030,1068,35
"157",270,910,967,25
"158",170,530,720,11
"159",190,520,692,10
"160",260,720,828,16
"161",160,400,538,6
"162",180,480,585,7
"163",220,630,747,12
"164",210,420,625,8
"165",210,480,660,9
"166",210,610,771,13
"167",410,1370,1116,41
"168",310,1380,1093,38
"169",380,1190,990,27
"170",440,980,915,21
"171",550,1230,1041,32
"172",380,1190,955,24
"173",160,470,692,10
"174",160,690,793,14
"175",150,560,585,7
"176",180,650,747,12
"177",780,1580,1502,24
"178",690,1710,1592,29
"179",750,1540,1558,27
"180",610,1380,1366,18
"181",750,1290,1175,12
"182",510,1460,1392,19
"183",1010,1720,1653,33
"184",690,1240,1247,14
"185",820,1460,1339,17
"186",1020,1610,1461,22
"187",720,1420,1339,17
"188",680,1610,1502,24
"189",580,1420,1280,15
"190",680,1370,1366,18
"191",850,1820,1461,22
"192",720,1620,1392,19
"193",720,1230,1175,12
"194",640,1190,1212,13
"195",940,1510,1416,20
"196",850,1310,1522,25
"197",780,1050,1212,13
"198",830,1520,1392,19
"199",710,980,1339,17
"200",790,1310,1502,24
"201",770,1120,1439,21
"202",810,1210,1366,18
"203",520,1140,1461,22
"204",820,1110,1133,11
"205",640,1040,1486,24
